City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,tazovsky,67.4667,78.7,6.86,86.0,100.0,5.09,RU,1726707136.0
201,sena madureira,-9.0656,-68.6569,31.3,35.0,100.0,1.4,BR,1726707136.0
202,ilulissat,69.2167,-51.1,1.01,86.0,13.0,2.06,GL,1726707136.0
203,puerto ayacucho,5.6639,-67.6236,25.55,87.0,100.0,2.33,VE,1726707136.0
204,lihue,21.9789,-159.3672,29.77,65.0,20.0,6.17,US,1726707136.0
205,dunedin,-45.8742,170.5036,13.78,55.0,99.0,2.68,NZ,1726707137.0
206,shache,38.4167,77.2406,20.32,31.0,0.0,0.99,CN,1726707137.0
207,rio grande,-32.035,-52.0986,15.76,90.0,0.0,6.94,BR,1726707064.0
208,simanggang,1.2472,111.4528,25.01,94.0,20.0,2.24,MY,1726707137.0
209,mikuni,36.2171,136.1519,28.24,78.0,99.0,1.77,JP,1726707137.0
210,invercargill,-46.4,168.35,7.79,92.0,95.0,5.36,NZ,1726707137.0
211,egilsstadir,65.2653,-14.3948,5.95,70.0,0.0,3.6,IS,1726707137.0
212,garhi khairo,28.0606,67.9803,29.61,46.0,0.0,3.81,PK,1726707138.0
213,salavan,15.7167,106.4167,22.18,99.0,100.0,1.77,LA,1726707138.0
214,arafat,39.0344,44.6198,10.6,76.0,100.0,1.12,IR,1726707138.0
215,chibougamau,49.9168,-74.3659,19.79,77.0,40.0,1.54,CA,1726706838.0
216,trairi,-3.2778,-39.2689,25.55,78.0,0.0,5.26,BR,1726707138.0
217,ibaiti,-23.8486,-50.1878,15.89,82.0,0.0,2.68,BR,1726706900.0
218,gadzhiyevo,69.2551,33.3362,11.06,84.0,99.0,6.92,RU,1726707138.0
219,coron,11.9986,120.2043,27.17,89.0,100.0,6.15,PH,1726707139.0
220,undurkhaan,47.3194,110.6556,4.38,54.0,100.0,4.68,MN,1726707139.0
221,easley,34.8298,-82.6015,21.83,90.0,100.0,1.54,US,1726706986.0
222,yelizovo,53.1873,158.3805,11.08,82.0,75.0,1.0,RU,1726707139.0
223,badnawar,23.0167,75.2167,21.33,94.0,8.0,5.35,IN,1726707139.0
224,hondo,32.45,130.2,28.11,73.0,100.0,3.77,JP,1726707139.0
225,turpan,42.9333,89.1667,23.07,23.0,0.0,1.64,CN,1726707140.0
226,lebu,-37.6167,-73.65,10.97,89.0,12.0,9.54,CL,1726706894.0
227,whitehorse,60.7161,-135.0538,10.01,69.0,100.0,3.6,CA,1726707140.0
228,ghat,24.9647,10.1728,32.06,32.0,100.0,0.85,LY,1726707140.0
229,yako,12.9667,-2.2667,24.85,82.0,98.0,2.66,BF,1726707140.0
230,vilyuysk,63.7553,121.6247,1.49,67.0,73.0,3.07,RU,1726707140.0
231,cartersville,34.1651,-84.7999,23.24,79.0,20.0,0.0,US,1726707140.0
